application_id,pan_number,applicant_name,employer_name,employer_type,employment_tenure_years,gross_salary,total_deductions,declared_income,income_stability,existing_emi_total,bank_balance,bounce_count,statement_months,spending_ratio,negative_month_count,cibil_score,negative_items_count,oldest_account_years,inquiries_12m,accounts_good_standing,derogatory_marks,requested_loan_amount,requested_tenure_months,aadhaar_number,date_of_birth,phone_number,email,address,verified_income,income_mismatch_flag,default_flag,written_off_flag,credit_enquiries_6m,interest_rate,proposed_emi,dti_ratio,data_consistency_flag,ocr_confidence_score,document_consistency_flag,decision,risk_category,decision_reason_codes,confidence_score,hil_required_flag,application_date
APP000001,QAHFT6804A,Anjali Reddy,Google India,MNC,19,73877,14449,65203,High,8474,36838,0,3,0.74,3,596,3,3,8,3,2,467000,24,908386379402,1988-08-21,8654235116,anjali967@outlook.com,"Flat 748, D Wing, Shanti Heights, Gomti Nagar, Mumbai, Maharashtra - 230890",73206,TRUE,FALSE,FALSE,2,15.85,22832.32,0.428,FALSE,89.96,TRUE,REJECT,HIGH,LOW_CREDIT_SCORE|INCOME_MISMATCH,73.74,TRUE,2026-03-19
APP000002,TBVUK0957G,Nisha Saxena,Own Business,Self-Employed,2,133038,45334,126939,Medium,42731,146471,1,3,0.86,0,376,12,3,8,2,6,632000,12,242388496965,1961-09-21,9228710122,nsaxena@hotmail.com,"Flat 258, A Wing, Royal Paradise, Andheri, Jaipur, Rajasthan - 813329",121970,FALSE,FALSE,FALSE,3,19.99,58541.98,0.83,TRUE,80.53,TRUE,REJECT,HIGH,LOW_CREDIT_SCORE|HIGH_DTI|ADVERSE_CREDIT_HISTORY,93.37,TRUE,2026-01-05
APP000003,GGOCT8951V,Manish Kapoor,Accenture,Startup,18,76502,20292,57342,High,6320,129876,0,3,0.49,3,702,3,9,1,2,2,442000,12,896383465787,1992-12-21,9633150983,manishkapoor@yahoo.com,"Flat 928, B Wing, Krishna Residency, Viman Nagar, Delhi, Delhi - 174300",65026,TRUE,FALSE,FALSE,0,11.87,39244.29,0.701,TRUE,82.23,TRUE,APPROVE,MEDIUM,HIGH_DTI|INCOME_MISMATCH,87.29,TRUE,2026-04-18
APP000004,YLWOB9899H,Sanjay Malhotra,Cognizant,Private Sector,13,114738,30496,81427,High,1637,52689,1,12,0.87,2,741,2,13,3,3,0,489000,84,360260647468,1971-09-07,8423430980,sanjaymalhotra@gmail.com,"Flat 984, B Wing, Shanti Paradise, Koramangala, Mumbai, Maharashtra - 992698",103002,TRUE,FALSE,FALSE,3,14.28,9239.67,0.106,TRUE,86.33,TRUE,APPROVE,LOW,INCOME_MISMATCH,86.85,TRUE,2026-03-30
APP000005,NDJBG2453Z,Sakshi Sharma,Wipro,Private Sector,5,149575,38965,193023,High,23946,49998,0,3,1.21,1,635,2,5,9,2,2,956000,48,412411824493,1960-08-03,8934874016,sakshi103@outlook.com,"Flat 760, D Wing, Royal Heights, Gomti Nagar, Bangalore, Karnataka - 839946",139289,TRUE,TRUE,TRUE,5,14.1,26172.09,0.36,TRUE,96.99,TRUE,REJECT,HIGH,LOW_CREDIT_SCORE|INCOME_MISMATCH|EXCESSIVE_INQUIRIES|PAST_DEFAULT|WRITTEN_OFF_ACCOUNT,97.04,TRUE,2025-10-31
APP000006,VGUCW8284J,Karan Joshi,State Government,Government,14,44772,9673,53265,High,4963,135262,1,6,0.86,3,739,2,13,2,5,2,240000,24,365414586850,2001-05-31,9642940196,karan.joshi@outlook.com,"Flat 922, A Wing, Lakshmi Paradise, Adyar, Pune, Maharashtra - 367096",39522,TRUE,FALSE,FALSE,1,13.15,11426.95,0.415,TRUE,70.01,TRUE,REVIEW,MEDIUM,INCOME_MISMATCH,83.59,TRUE,2025-10-29
APP000007,PRMLF4971C,Nikhil Bansal,KPMG,Private Sector,5,226435,60931,171803,High,71852,678298,1,12,1.2,3,620,5,5,10,3,1,1260000,48,951343320037,1960-06-23,8017693676,nbansal@gmail.com,"Flat 181, A Wing, Royal Complex, Gomti Nagar, Hyderabad, Telangana - 587116",189077,TRUE,FALSE,FALSE,4,16.51,36038.72,0.571,TRUE,78.29,TRUE,REVIEW,MEDIUM,LOW_CREDIT_SCORE|HIGH_DTI|INCOME_MISMATCH|ADVERSE_CREDIT_HISTORY|EXCESSIVE_INQUIRIES,86.01,TRUE,2025-12-31
APP000008,ODGSS0454G,Ravi Saxena,Indian Railways,Public Sector,10,146082,31773,149379,High,47115,168369,4,6,0.63,0,745,4,15,3,2,0,300000,12,96705466889,1965-05-21,9273467065,ravi.saxena@hotmail.com,"Flat 607, D Wing, Sai Paradise, Andheri, Pune, Maharashtra - 188026",133905,TRUE,TRUE,FALSE,1,14.32,26981.33,0.553,TRUE,74.42,TRUE,REJECT,HIGH,HIGH_DTI|INCOME_MISMATCH|HIGH_BOUNCE_RATE|PAST_DEFAULT,83.48,TRUE,2026-02-24
APP000009,OFSTE6718J,Arjun Rao,KPMG,Startup,14,39916,13449,42589,High,4245,72788,2,12,0.95,3,713,2,15,4,4,0,140000,60,966319314919,2001-11-25,9958651850,arao@outlook.com,"Flat 446, C Wing, Royal Apartments, Gomti Nagar, Bangalore, Karnataka - 782055",38048,TRUE,FALSE,FALSE,1,13.45,3217.77,0.196,TRUE,97.49,TRUE,APPROVE,LOW,INCOME_MISMATCH,90.1,TRUE,2026-03-15
APP000010,MTRQM7026J,Swati Nair,Infosys,MNC,2,202969,56339,195059,Medium,51410,100703,0,6,0.82,3,656,2,10,1,5,1,986000,12,856855744431,1972-07-31,9351823374,swatinair@rediffmail.com,"Flat 233, A Wing, Royal Tower, Banjara Hills, Chennai, Tamil Nadu - 416951",170732,TRUE,FALSE,FALSE,0,11.53,87388.26,0.813,FALSE,72.47,TRUE,REJECT,HIGH,HIGH_DTI|INCOME_MISMATCH,68.58,TRUE,2025-11-30
