application_id,pan_number,applicant_name,employer_name,employer_type,employment_tenure_years,gross_salary,total_deductions,declared_income,income_stability,existing_emi_total,bank_balance,bounce_count,statement_months,spending_ratio,negative_month_count,cibil_score,negative_items_count,oldest_account_years,inquiries_12m,accounts_good_standing,derogatory_marks,requested_loan_amount,requested_tenure_months,aadhaar_number,date_of_birth,phone_number,email,address,verified_income,income_mismatch_flag,default_flag,written_off_flag,credit_enquiries_6m,interest_rate,proposed_emi,dti_ratio,data_consistency_flag,ocr_confidence_score,document_consistency_flag,decision,risk_category,decision_reason_codes,confidence_score,hil_required_flag,application_date
APP-2026-00001,CRJKW0660X,MEHTA VARUN,Reliance Industries,PRIVATE,12.6,108644,22257,102638,CONSISTENT_6M,12307,427599,0,6,0.42,0,745,,,,,,596410,60,367469214295,1991-06-11,916667779376,mehta.varun@email.com,"Mumbai, Gujarat",102638,N,N,N,0,8.5,12236,0.23912196262592803,Y,88,Y,APPROVED,LOW,LOW_RISK,100,N,2026-03-26 0:00:00
APP-2026-00002,ZVZYW1424B,RAO SNEHA,HDFC Bank,PRIVATE,3.7,101173,20894,103391,CONSISTENT_6M,22451,389402,1,12,0.64,0,635,,,,,,354974,12,251282538206,1981-03-07,916924765563,rao.sneha@email.com,"Jaipur, Karnataka",103391,N,Y,N,0,13.5,31788,0.5246007873025699,Y,70,N,REJECTED,HIGH,DEFAULT_FLAG|LOW_CIBIL|HIGH_DTI,75,N,2026-03-25 0:00:00
APP-2026-00003,BPNWE9015V,PILLAI SAVITA,BHEL,GOVERNMENT,1.3,37856,10378,37631,ONE_ANOMALY,10855,18244,2,12,0.79,0,763,2.0,1.5,6.0,3.0,2.0,219751,24,214832269481,1974-11-24,919279182318,pillai.savita@email.com,"Pune, Karnataka",28024,Y,N,N,6,6.5,9789,0.7366542963174422,N,98,Y,REJECTED,HIGH,HIGH_DTI|HIGH_ENQUIRIES|INCOME_MISMATCH,65,Y,2026-04-06 0:00:00
APP-2026-00004,BLZZB2298H,TIWARI AJAY,Larsen & Toubro,PRIVATE,3.0,107433,28295,108664,CONSISTENT_3M,34145,299847,1,6,0.8,0,687,,,,,,291723,24,914655221101,1988-11-07,917445662585,tiwari.ajay@email.com,"Jaipur, Tamil Nadu",108664,N,N,N,0,10.5,13528,0.4387193550761982,Y,97,Y,REVIEW,MEDIUM,BORDERLINE_DTI,100,Y,2026-03-27 0:00:00
APP-2026-00005,COHPS2624B,KAPOOR KAVYA,Wipro Technologies,PRIVATE,5.4,86265,15908,83104,CONSISTENT_6M,27308,145324,0,9,0.6,0,629,,,,,,250520,24,700832336208,1965-01-08,916438989805,kapoor.kavya@email.com,"Lucknow, West Bengal",83104,N,Y,N,0,13.5,11969,0.4726246630727763,Y,97,Y,REJECTED,HIGH,DEFAULT_FLAG|LOW_CIBIL|BORDERLINE_DTI,100,N,2026-04-02 0:00:00
APP-2026-00006,OLBJY9036V,MALHOTRA LAKSHMI,HCL Technologies,PRIVATE,3.5,123385,33118,120032,CONSISTENT_3M,21749,429181,2,6,0.79,1,628,1.0,5.9,4.0,3.0,1.0,283796,24,748913461122,1962-05-03,916398340369,malhotra.lakshmi@email.com,"Lucknow, Telangana",89720,Y,Y,N,4,13.5,13558,0.39352429781542575,N,85,Y,REJECTED,HIGH,DEFAULT_FLAG|LOW_CIBIL|HIGH_ENQUIRIES|INCOME_MISMATCH,75,Y,2026-04-14 0:00:00
APP-2026-00007,SJBMF9388H,NAIDU KIRAN,Infosys Ltd,PRIVATE,10.9,184455,39256,190425,CONSISTENT_3M,16945,1087594,0,9,0.67,0,749,,,,,,637633,12,136171878809,2001-01-14,917631775357,naidu.kiran@email.com,"Bangalore, Maharashtra",190425,N,N,N,0,8.5,55614,0.3810371537350663,Y,67,N,APPROVED,LOW,LOW_RISK,85,N,2026-04-18 0:00:00
APP-2026-00008,PZAPI7491S,NAIR DEEPAK,ICICI Bank,PRIVATE,1.4,76450,17094,75501,TWO_PLUS_ANOMALIES,30332,141298,1,6,0.86,0,590,,,,,,469899,60,198912225902,1967-04-17,916415393687,nair.deepak@email.com,"Hyderabad, Tamil Nadu",75501,N,Y,N,0,13.5,10812,0.5449464245506682,Y,98,Y,REJECTED,HIGH,DEFAULT_FLAG|LOW_CIBIL|HIGH_DTI,90,N,2026-04-04 0:00:00
APP-2026-00009,DXNRI6516M,SAXENA VIVEK,Government of Karnataka,GOVERNMENT,3.1,41405,10001,39712,ONE_ANOMALY,11596,33722,2,9,0.8,1,606,3.0,1.0,7.0,1.0,1.0,272831,48,354342113419,1965-03-08,917541804686,saxena.vivek@email.com,"Bangalore, Telangana",33329,Y,N,N,7,13.5,7387,0.5695640433256324,N,85,Y,REJECTED,HIGH,LOW_CIBIL|HIGH_DTI|HIGH_ENQUIRIES|INCOME_MISMATCH,65,Y,2026-04-09 0:00:00
APP-2026-00010,RQCYG3810P,DAS NIKHIL,Cipla Ltd,PRIVATE,6.9,59545,13429,61640,CONSISTENT_3M,16203,131150,0,9,0.6,0,728,,,,,,335208,12,763595448017,1994-03-03,919639960595,das.nikhil@email.com,"Bangalore, Maharashtra",61640,N,N,N,0,8.5,29236,0.7371674237508111,Y,70,N,REJECTED,HIGH,HIGH_DTI,75,N,2026-04-12 0:00:00
APP-2026-00011,USMOX1145R,NAIR AMIT,Cipla Ltd,PRIVATE,6.8,277984,74817,277885,CONSISTENT_6M,34947,1790710,0,12,0.45,0,835,,,,,,1309676,48,714294294451,1970-01-05,917477278577,nair.amit@email.com,"Chennai, Gujarat",277885,N,N,N,0,6.5,31058,0.2375263148424708,Y,91,Y,APPROVED,LOW,LOW_RISK,100,N,2026-03-27 0:00:00
APP-2026-00012,GQTNQ2022K,KRISHNAN DEEPAK,NTPC Ltd,GOVERNMENT,9.5,116273,22682,112760,CONSISTENT_6M,9545,552568,0,6,0.53,0,789,0.0,8.9,2.0,4.0,0.0,295622,48,886833016361,1982-05-16,918592983555,krishnan.deepak@email.com,"Kolkata, Delhi",85105,Y,N,N,2,6.5,7010,0.1945244110216791,N,89,Y,REVIEW,MEDIUM,INCOME_MISMATCH,75,Y,2026-03-26 0:00:00
APP-2026-00013,JAJTW9475T,MALHOTRA AJAY,NTPC Ltd,GOVERNMENT,5.6,137520,28507,135200,CONSISTENT_6M,20673,936094,0,6,0.69,0,871,,,,,,246302,48,871590378377,1986-01-25,917136108454,malhotra.ajay@email.com,"Kolkata, West Bengal",135200,N,N,N,0,6.5,5841,0.1961094674556213,Y,86,Y,APPROVED,LOW,LOW_RISK,100,N,2026-04-04 0:00:00
APP-2026-00014,AQDMB3237M,HEGDE PRAKASH,Axis Bank,PRIVATE,6.3,105255,21601,97955,CONSISTENT_6M,25440,418243,0,6,0.81,0,683,,,,,,272068,12,561902006518,1988-11-12,919466589567,hegde.prakash@email.com,"Hyderabad, Tamil Nadu",97955,N,N,N,0,10.5,23982,0.5045377979684549,Y,88,Y,REJECTED,HIGH,HIGH_DTI,90,N,2026-04-10 0:00:00
